index_banco,datetime,username,text,ae,pc,pop
14045,2020-09-02 20:43:10 utc,ciro gomes,"obrigado por esse gif tão bom, @gangdaflorzinha! <u+2764><u+fe0f><u+2604><u+fe0f>",0,0,0
12127,2021-11-23 23:43:04 utc,ciro gomes,"""o brasil nunca deixou de ser um lugar vivo culturalmente, mas o negócio que é feito com a cultura não é um negócio que vende o verdadeiro brasil, vende um brasil americanizado."" pedro cardoso na #cirogames",0,0,0
19733,2022-03-11 17:56:33 utc,felipe davila,"o brasileiro sofreu muito com a inflação nos anos 80 e 90.

apenas com o plano real - e as inúmeras reformas que o acompanharam - que o nosso dinheiro passou a ter valor novamente.

não tem outro jeito para sair da crise: precisamos encarar nossas reformas atrasadas.",0,0,0
27987,2021-10-13 02:45:05 utc,soraya thronicke,"@heliotelho @deltanmd eu votei não!

fui eleita defendendo a bandeira anticorrupção, e estou indignada com a dormência social. que pesadelo é esse q estamos vivendo?",0,0,0
13528,2020-11-07 01:29:03 utc,ciro gomes,obrigado por tudo! amo você<u+2764><u+fe0f>,0,0,0
21934,2022-04-05 22:30:10 utc,sofia manzano,muito bom esse reage do @cordilheiracult,0,0,0
11532,2022-04-26 13:56:44 utc,ciro gomes,"a maioria não cometeu nenhuma violência, é avião do tráfico, vendendo pequenas quantidades e que a polícia prende para fazer de conta que está enfrentando o narcotráfico, que não mora na periferia. o grande narcotraficante mora no estrangeiro ou nos bairros de luxo do brasil.",0,0,0
29503,2019-06-07 18:10:00 utc,soraya thronicke,@penarezende vamos juntos! vamos todos juntos ajudar o nosso brasil! obrigada!,0,0,0
11372,2022-05-25 18:00:22 utc,ciro gomes,"estão acabando com nosso aparato industrial na perigosa ilusão de que vamos pagar o nosso consumo moderno, de microeletrônica, de sofisticação de informática etc., com milho, soja, minério de ferro bruto e petróleo sem processamento. chega. 

avante a indústria brasileira!",0,0,0
23506,2022-09-05 22:21:19 utc,vera lucia,"@sabrinaprendiz menina, nem me fale <u+0001f643>",0,0,0
2724,2020-05-20 15:19:13 utc,jairbolsonaro,- mais informações diárias:,0,0,0
11527,2022-04-26 14:14:29 utc,ciro gomes,"isso vira um lucro exorbitante e pasmem, não pagam imposto sobre os lucros e dividendos!",0,0,0
1018,2022-05-05 18:43:29 utc,jairbolsonaro,"2- inauguração da unidade básica de saúde (ubs) dr. severino elias de paiva araújo, em gurinhém (pb). @mdregional_br @minsaude @govbrazil @danielodferr @secomvc",0,0,0
22157,2022-02-16 03:35:31,sofia manzano,"e mais, a reportagem culpa a própria construção das moradias pelo encharcamento do solo. não tratam da especulação imobiliária, da ocupação do solo urbano pelo capital. no final, parece ser apenas uma questão de escolha. e exploração jornalística da miséria.",0,0,0
12938,2021-03-19 22:57:24 utc,ciro gomes,"que diferença a política faz! hoje os eua comemoram 100 milhões de pessoas vacinadas contra covid em apenas 58 dias do governo de joe biden. os americanos estão aplicando mais de 2 milhões de doses por dia. já no brasil, não tem organização, não tem planejamento nem vacina...",0,0,0
812,2022-06-07 09:46:05 utc,jairbolsonaro,".66,3% de todo o território brasileiro são conservados.

.muitos países criticam o brasil mas não conservam nem 5% de seu território.

.nós conservamos 66,3%. e mais da metade disso é merito do agronegócio!

.33,2% do solo brasileiro são conservados por produtores rurais.",0,0,0
21760,2022-06-03 15:35:58 utc,sofia manzano,"jornada de 30 horas semanais, sem redução salarial, gera milhões de empregos, renda e bem-estar para a classe trabalhadora. 
esta é a pauta da nossa luta. 
#jornada30horas",0,0,0
7772,2021-12-02 23:08:02 utc,lulaoficial,"bota um metalúrgico lá pra ver se não resolve!

- lula no podpah",0,0,0
27438,2022-09-09 16:16:26 utc,soraya thronicke,"tiveram cortes no orçamento da segurança pública.
temos que tirar a política da polícia federal.
#votesoraya44 #sorayapresidente #soraya44 #vote44 #uniãobrasil #grupoliberal",0,0,0
27252,2022-10-14 01:19:38 utc,soraya thronicke,@jettkwlski @majorolimpio torcendo por @eduardoleite_ ! <u+0001f64f><u+0001f3fc><u+0001f64f><u+0001f3fc><u+0001f64f><u+0001f3fc>,0,0,0
29912,2019-03-27 03:04:59 utc,soraya thronicke,@fabianossantana @davialcolumbre não queria saber do que o stf é capaz.,0,0,0
30238,2022-09-25 13:44:52 utc,padre kelmon,"pessoal, estão criando vários perfis fakes da minha pessoa. esse aqui é o oficial da campanha. por favor compartilhem esse e denunciem os outros. vamos juntos pelo brasil!<u+0001f1e7><u+0001f1f7>",0,0,0
21019,2022-09-23 02:08:02,sofia manzano,"o principal problema que o brasil enfrenta hoje é a desorganização, o apassivamento e a cooptação da classe trabalhadora.
#sofianorevolushow",0,0,0
27842,2022-04-06 22:39:42 utc,soraya thronicke,"@uniaosenado44 @senadofederal @uniaobrasil44 @jaymecampos251 seja bem-vindo, senador!",0,0,0
6032,2022-10-03 01:10:20 utc,lulaoficial,"ontem falei que toda a eleição eu quero ganhar no 1° turno, mas nem sempre é possível. mas a crença que nada acontece por acaso me motiva. todas as pesquisas nos colocavam em 1° lugar, e sempre achei que nós iríamos ganhar. e nós vamos. isso é só uma prorrogação.",0,0,0
12667,2021-05-28 13:00:18 utc,ciro gomes,"é este tipo de pensamento derrotista que está fazendo bolsonaro, entre outras coisas, se apropriar de símbolos pátrios - como nossa bandeira, nossas cores nacionais - e muitos aceitarem passivamente este sequestro. (...)",0,0,0
20793,2022-10-16 23:33:29 utc,sofia manzano,bolsonaro acabou com os recursos públicos para construção de cisternas no nordeste.,0,0,0
5239,2022-12-19 18:20:37 utc,lulaoficial,animados? quem aqui vai participar da posse em brasília?,0,0,0
6162,2022-09-27 00:20:06 utc,lulaoficial,"a cultura será tratada como um bem de primeira necessidade, porque ela alimenta nossas almas. nós precisamos de música, cinema, teatro, dança, artes plásticas. nós precisamos de mais livros em vez de armas. #brasildaesperança",0,0,0
11789,2022-02-10 12:00:59 utc,ciro gomes,"de setembro pra cá, trouxemos convidados especiais, promovemos um debate plural e criamos novos quadros  como o #reactdocirão, que já é um sucesso! e vem muita coisa boa por aí, não percam  toda terça, 19h30, tem #cirogames aqui nas redes!",0,0,0
24884,2020-09-15 18:43:52 utc,vera lucia,"@arthurmoledoval do mbl -  do alto do seu cargo público  ofende o padre julio lancelloti e destrata os mais pobres. o @pejulio é  reconhecido pela defesa da população de rua. já o ""nobre edil"" tenta se projetar fazendo o oposto. covardia. todo apoio ao padre julio!",0,0,0
16002,2022-10-16 18:41:46,leonardo pericles,"por isso, as mulheres e todo o povo solidário a luta das mulheres, vão às ruas dia 22 para gritar fora ao machista, genocida, fascista e pedófilo bolsonaro!",0,0,0
16221,2022-04-30 15:25:07 utc,leonardo pericles,"quem vai usar aí, a capa da nossa pré-campanha?",0,0,0
20928,2022-09-28 17:23:28 utc,sofia manzano,#vote21,0,0,0
12651,2021-06-03 14:47:36 utc,ciro gomes,feliz aniversário ao querido amigo e grande governador @camilosantanace! todos os dias reforça seu exemplo de trabalho sério e compromisso com nosso povo. siga firme em sua luta para salvar vidas. eu e os cearenses estamos com você!,0,0,0
11456,2022-05-06 17:12:48 utc,ciro gomes,"lamento muito o falecimento do ex-deputado estadual e presidente da assembleia legislativa do ceará, júlio rêgo. homem público exemplar e médico dedicado, deu a vida inteira à causa do povo de tauá, dos inhamuns e do ceará. perdi um amigo muito querido.",0,0,0
28133,2021-03-31 14:41:51 utc,soraya thronicke,"@rivertonnantes @senadofederal @marcal_oficial @kelianafernand7 análise objetiva dos postos de trabalho, não em carreiras de caráter subjetivo.",0,0,0
27778,2022-07-21 03:52:54 utc,soraya thronicke,"pousando em mato grosso do sul como eu amo tudo isso!
sinto um orgulho imenso por ser filha desta terra!
meu coração fica pleno de alegria! #matogrossodosul 
#pantanal",0,0,0
27447,2022-09-09 15:59:29 utc,soraya thronicke,"os investimentos em tecnologia tem sido cortados, ano após ano. pra onde vai esse dinheiro?
#votesoraya44 #sorayapresidente #soraya44 #vote44 #uniãobrasil #grupoliberal",0,0,0
23835,2022-03-13 19:26:43 utc,vera lucia,"@urbaninchains @zemaskwak donbass e a criméia foram ""russificadas"" durante o stalinismo, com os povos originários expulsos.

o impasse que se coloca é qual direito a rússia tem de exigir um território que há realizou limpeza étnica. podem ajudar e levar seu povo de volta. mas trata-lo como seu, jamais.",0,0,0
