index_banco,datetime,username,text,ae,pc,pop
431,2022-08-24 22:34:16 utc,jairbolsonaro,"- sob comando do pt, o brasil atuava como mina de ouro da esquerda na américa latina, servindo a aliados aversos à democracia e deixando em segundo plano os interesses de nossa nação. enquanto bancavam obras em cuba e na venezuela, por exemplo, abandonavam as do próprio país.",1,1,1
604,2022-07-18 13:06:31 utc,jairbolsonaro,"- ciente de que o desemprego traria ainda mais sofrimento ao povo, a esquerda pediu para ignorarmos a economia, o que não aconteceu. além de repassar recursos e disponibilizar vacina a quem desejasse, criamos o auxílio emergencial, o pronampe e o bem, que reduziram os impactos.",1,1,1
1367,2022-02-09 23:17:13 utc,jairbolsonaro,"- assim, reitero todo nosso apoio ao povo judeu, que hoje sofre não só com as cicatrizes deixadas pela história, mas também com o desrespeito daqueles que banalizam um assunto tão grave, rotulando tudo e todos na ânsia de conquistar ainda mais poder e controle sobre as pessoas.",1,1,1
3169,2020-02-06 09:50:02 utc,jairbolsonaro,4- nossa economia está em plena recuperação. o desemprego cai; a inflação está controlada; a taxa de juros é a menor da nossa história. estamos honrando o nosso compromisso de tirar o peso do estado das costas de quem produz.,1,1,1
8621,2020-11-23 22:49:28 utc,lulaoficial,"2- com matéria inédita sobre a parceria da globo com moro e dallagnol, e @czmartins para falar sobre seu livro lawfare. a rede globo tem que parar de censurar quem conta o que ela não quer que o povo saiba. #equipelula",1,1,1
8880,2020-07-31 15:16:19 utc,lulaoficial,bolsonaro não está nem um pouco preocupado em resolver os problemas do povo brasileiro. tudo o que ele faz é calculado pra resolver os problemas da família dele.,1,1,1
9523,2019-08-16 21:13:20 utc,lulaoficial,"agora a gente tem um presidente que faz palhaçada o tempo inteiro. e o povo desempregado, o povo passando fome, o povo morando na rua. #lulanatvebahia",1,1,1
10950,2022-08-04 20:57:44 utc,ciro gomes,"o dinheiro pra financiar o desenvolvimento brasileiro está no bolso de uma minoria de poderosos, mas nós temos um modelo para cobrar tributos que diminui a cobrança em cima do povo trabalhador e aumenta a tributação sobre os super-ricos.",1,1,1
11528,2022-04-26 14:14:28 utc,ciro gomes,"o lula e o pt concentraram na mão de apenas 5 bancos, 85% de todas as transações financeiras do brasil! ou seja, de 5 bancos, 4 já estão como os mais rentáveis  de 10  do mundo. meu irmão, é o maior assalto a mão desarmada que a humanidade já conheceu em todos os tempos.",1,1,1
11889,2022-01-24 09:29:25 utc,ciro gomes,"quando vamos arrancar a pedra de gelo que alguns dos nossos governantes têm no peito e transformá-la em água de beber para dar a quem tem sede de vida e justiça? até quando essa gente vai ser subjugada, injustiçada e humilhada por esse governo incompetente e genocida?",1,1,1
